rank,channel_id,channel_name,channel_url,subscribers,video_count,country,classification,latest_video_id,latest_video_title,latest_video_thumbnail,latest_video_published_at,latest_video_duration_sec,generated_at_utc
140,UCQFja3n1zr4YqVVDUOTw8pQ,Let’s Talk About It! With Kenya,https://www.youtube.com/channel/UCQFja3n1zr4YqVVDUOTw8pQ,33,2,,other,0__nnikq7Mc,Episode 1,https://i.ytimg.com/vi/0__nnikq7Mc/mqdefault.jpg,2019-12-05T04:29:39Z,900,2025-12-15T09:50:02Z
141,UCYi4QdrP-vPkbJ2rN0Pb35g,Kenyan Love Talks & Advice podcast,https://www.youtube.com/channel/UCYi4QdrP-vPkbJ2rN0Pb35g,31,9,KE,podcast,f_pa70d52l0,Would you smash if your girl still has her ex’s name tattooed? 👀🔥,https://i.ytimg.com/vi/f_pa70d52l0/mqdefault.jpg,2025-06-21T10:00:06Z,1134,2025-12-15T09:50:02Z
142,UCd-ySVrUYn4q3P2BduCoQ_Q,BEING KENYAN PODCAST,https://www.youtube.com/channel/UCd-ySVrUYn4q3P2BduCoQ_Q,24,5,,podcast,1goSodCZzy4,live scenes right now from Nairobi Kenya @NTV Kenya,https://i.ytimg.com/vi/1goSodCZzy4/mqdefault.jpg,2023-03-20T12:56:04Z,4102,2025-12-15T09:50:02Z
143,UC-KhQkCyDkfnXWvk2ftLS8w,Nairobi Podcast Studio.,https://www.youtube.com/channel/UC-KhQkCyDkfnXWvk2ftLS8w,22,3,KE,podcast,nwnz8nNPSgc,"Youth Politics on SHOTS NA SHARKY podcast, EPISODE 2",https://i.ytimg.com/vi/nwnz8nNPSgc/mqdefault.jpg,2025-04-01T11:56:16Z,3597,2025-12-15T09:50:02Z
144,UCFXphqedTzlEtbdTBJcz_Pg,Amped Studios,https://www.youtube.com/channel/UCFXphqedTzlEtbdTBJcz_Pg,20,12,,podcast,ShPpQbMiTK4,Episode 12: Rada?,https://i.ytimg.com/vi/ShPpQbMiTK4/mqdefault.jpg,2020-06-27T03:21:57Z,5740,2025-12-15T09:50:02Z
145,UCwGBF4-qaUOlix0-7gJgXZA,Woman Kenya Network,https://www.youtube.com/channel/UCwGBF4-qaUOlix0-7gJgXZA,19,9,,podcast,PBu6mx0jsac,The inspiring story of Sarah Kabu: From poverty to success,https://i.ytimg.com/vi/PBu6mx0jsac/mqdefault.jpg,2025-02-25T12:33:29Z,3209,2025-12-15T09:50:02Z
146,UC_Xg1bgPH1hPHTvnhwOe2pg,Kenya News Podcast,https://www.youtube.com/channel/UC_Xg1bgPH1hPHTvnhwOe2pg,17,35,KE,podcast,xGW6s_IF18s,Does Matiang'i Presidential Bid Benefit Ruto More? Trouble in Paradise for Gachagua and Kalonzo,https://i.ytimg.com/vi/xGW6s_IF18s/mqdefault.jpg,2025-05-07T15:13:15Z,818,2025-12-15T09:50:02Z
147,UCgpIl6p9PVuQaR9rtw2EC-g,The Statement,https://www.youtube.com/channel/UCgpIl6p9PVuQaR9rtw2EC-g,13,9,KE,podcast,hIG2WgHTV3E,"EP 09: Sharon Obara speaks of her accomplishments, exit plan as Miss World Kenya 2021 #TheStatement",https://i.ytimg.com/vi/hIG2WgHTV3E/mqdefault.jpg,2022-10-26T00:55:43Z,1245,2025-12-15T09:50:02Z
148,UCT70TSZZ7LlK13jdg4duygg,Tissletti Podcast,https://www.youtube.com/channel/UCT70TSZZ7LlK13jdg4duygg,11,15,KE,podcast,J6FScj1jhcs,Hon. Nicholas Wanjala on KBC,https://i.ytimg.com/vi/J6FScj1jhcs/mqdefault.jpg,2025-08-17T09:33:05Z,2231,2025-12-15T09:50:02Z
149,UCxSpR5ZNKP6vo9fWPVFo66A,Nairobi Youth Congress official,https://www.youtube.com/channel/UCxSpR5ZNKP6vo9fWPVFo66A,11,1,,other,RlitfCTjHr4,SINCERELY NAIROBI PODCAST EPISODE 1,https://i.ytimg.com/vi/RlitfCTjHr4/mqdefault.jpg,2024-08-29T05:30:07Z,2089,2025-12-15T09:50:02Z
150,UCWyvW8Hzp6j4acsUtVx4o0g,ON THE TABLE PODCAST KENYA,https://www.youtube.com/channel/UCWyvW8Hzp6j4acsUtVx4o0g,10,3,KE,podcast,vmdht4c33oo,HOW TO OVERCOME DEPRESSION  |  EPISODE 2 PART B  |  ON THE TABLE PODCAST KENYA  |,https://i.ytimg.com/vi/vmdht4c33oo/mqdefault.jpg,2022-01-28T09:17:17Z,1086,2025-12-15T09:50:02Z
151,UCUS_VhmqAG84NiO5WC8g5Hw,Kenya Marketplace Daily Podcast,https://www.youtube.com/channel/UCUS_VhmqAG84NiO5WC8g5Hw,7,12,,podcast,PpyoYu8EL3k,"Sh14 Billion Loss, NBK's land scam Court Drama, and Budget Chaos – Kenya’s Fiscal Earthquake",https://i.ytimg.com/vi/PpyoYu8EL3k/mqdefault.jpg,2025-06-25T17:14:42Z,1117,2025-12-15T09:50:02Z
152,UCO8eWiF-795K_Mlj1qvr8zQ,The Tajiri Podcast Kenya,https://www.youtube.com/channel/UCO8eWiF-795K_Mlj1qvr8zQ,7,6,,podcast,2zHEBzSeFto,Boy Child Empowerment,https://i.ytimg.com/vi/2zHEBzSeFto/mqdefault.jpg,2024-05-01T18:00:23Z,1126,2025-12-15T09:50:02Z
153,UCFZ6hHWKXv_PSA6F2EA0QcQ,The Nairobi Podcast,https://www.youtube.com/channel/UCFZ6hHWKXv_PSA6F2EA0QcQ,3,1,,podcast,2ZBWkl7a9R8,The Nairobi Podcast | Episode One - Strangers Should Check in on Strangers,https://i.ytimg.com/vi/2ZBWkl7a9R8/mqdefault.jpg,2022-05-13T21:21:28Z,1039,2025-12-15T09:50:02Z
